ssc_code,"suburb","urban_area",postcode,"state","state_name","type","local_goverment_area","statistic_area",elevation,population,median_income,sqkm,lat,lng,"timezone"
10499,"Boorolong","",2350,"NSW","New South Wales","Rural locality","Armidale Regional (Area)","Rest of NSW",1180,88,24024,271.144,-30.35699,151.45893,"Australia/Sydney"
11305,"Dumaresq","",2350,"NSW","New South Wales","Rural locality","Armidale Regional (Area)","Rest of NSW",1139,77,38220,127.372,-30.43302,151.55409,"Australia/Sydney"
11337,"Duval","",2350,"NSW","New South Wales","Rural locality","Armidale Regional (Area)","Rest of NSW",1204,0,0,20.094,-30.41398,151.63446,"Australia/Sydney"
11271,"Donald Creek","",2350,"NSW","New South Wales","Rural locality","Armidale Regional (Area)","Rest of NSW",1122,30,38948,18.442,-30.42438,151.76057,"Australia/Sydney"
10387,"Black Mountain","",2365,"NSW","New South Wales","Rural locality","Armidale Regional (Area)","Rest of NSW",1291,310,33592,222.533,-30.32917,151.68914,"Australia/Sydney"
10008,"Aberfoyle","",2350,"NSW","New South Wales","Rural locality","Armidale Regional (Area)","Rest of NSW",1163,102,42900,340.479,-30.23695,151.98519,"Australia/Sydney"
13810,"Thalgarrah","",2350,"NSW","New South Wales","Rural locality","Armidale Regional (Area)","Rest of NSW",1176,178,38428,354.742,-30.40553,151.88916,"Australia/Sydney"
14356,"Wollomombi","",2350,"NSW","New South Wales","Rural locality","Armidale Regional (Area)","Rest of NSW",1000,112,36556,382.268,-30.48225,152.14401,"Australia/Sydney"
12010,"Jeogla","",2350,"NSW","New South Wales","Rural locality","Armidale Regional (Area)","Rest of NSW",751,40,27924,681.954,-30.68695,152.17593,"Australia/Sydney"
11372,"Ebor","",2453,"NSW","New South Wales","Rural locality","Armidale Regional (Area)","Rest of NSW",1288,166,23400,329.670,-30.40543,152.31573,"Australia/Sydney"
11200,"Dangarsleigh","",2350,"NSW","New South Wales","Rural locality","Armidale Regional (Area)","Rest of NSW",1039,150,36504,99.435,-30.62796,151.68227,"Australia/Sydney"
12594,"Metz","",2350,"NSW","New South Wales","Rural locality","Armidale Regional (Area)","Rest of NSW",963,106,32448,196.596,-30.57975,151.83313,"Australia/Sydney"
11907,"Hillgrove","",2350,"NSW","New South Wales","Rural locality","Armidale Regional (Area)","Rest of NSW",735,176,28756,365.188,-30.63081,151.96912,"Australia/Sydney"
10846,"Castle Doyle","",2350,"NSW","New South Wales","Rural locality","Armidale Regional (Area)","Rest of NSW",963,164,37700,90.983,-30.62825,151.78619,"Australia/Sydney"
11424,"Enmore","",2350,"NSW","New South Wales","Rural locality","Armidale Regional (Area)","Rest of NSW",1122,55,35724,222.168,-30.72933,151.84406,"Australia/Sydney"
12404,"Lower Creek","",2440,"NSW","New South Wales","Rural locality","Armidale Regional (Area)","Rest of NSW",530,32,14144,250.439,-30.66391,152.28119,"Australia/Sydney"
10825,"Carrai","",2440,"NSW","New South Wales","Rural locality","Armidale Regional (Area)","Rest of NSW",850,0,0,257.404,-30.82848,152.24865,"Australia/Sydney"
13865,"Tilbuster","",2350,"NSW","New South Wales","Rural locality","Armidale Regional (Area)","Rest of NSW",1045,62,42640,39.548,-30.41649,151.70075,"Australia/Sydney"
12087,"Kellys Plains","",2350,"NSW","New South Wales","Rural locality","Armidale Regional (Area)","Rest of NSW",1012,157,40040,9.017,-30.58330,151.62612,"Australia/Sydney"
14376,"Wongwibinda","",2350,"NSW","New South Wales","Rural locality","Armidale Regional (Area)","Rest of NSW",1180,61,32188,395.589,-30.27050,152.19963,"Australia/Sydney"
12425,"Lyndhurst","",2350,"NSW","New South Wales","Rural locality","Armidale Regional (Area)","Rest of NSW",1269,21,35724,181.402,-30.35785,152.05709,"Australia/Sydney"
13268,"Puddledock","",2350,"NSW","New South Wales","Rural locality","Armidale Regional (Area)","Rest of NSW",1138,48,35100,20.987,-30.38482,151.75855,"Australia/Sydney"
11135,"Croydon Park","Ashfield",2133,"NSW","New South Wales","Major Urban locality","Inner West (Area)","Greater Sydney",13,11012,35360,2.550,-33.89732,151.10289,"Australia/Sydney"
11134,"Croydon","Ashfield",2132,"NSW","New South Wales","Major Urban locality","Inner West (Area)","Greater Sydney",28,10612,34996,2.435,-33.88062,151.11690,"Australia/Sydney"
10098,"Ashfield","Ashfield",2131,"NSW","New South Wales","Major Urban locality","Inner West (Area)","Greater Sydney",38,23841,35412,3.414,-33.88947,151.12753,"Australia/Sydney"
11828,"Haberfield","Ashfield",2045,"NSW","New South Wales","Major Urban locality","Inner West (Area)","Greater Sydney",21,6457,41652,2.383,-33.87968,151.13910,"Australia/Sydney"
13687,"Summer Hill","Ashfield",2130,"NSW","New South Wales","Major Urban locality","Inner West (Area)","Greater Sydney",29,7311,51636,1.203,-33.89348,151.13720,"Australia/Sydney"
11963,"Hurlstone Park","Ashfield",2193,"NSW","New South Wales","Major Urban locality","Inner West (Area)","Greater Sydney",28,4692,39624,1.201,-33.91005,151.12854,"Australia/Sydney"
10093,"Ashbury","Ashfield",2193,"NSW","New South Wales","Major Urban locality","Inner West (Area)","Greater Sydney",21,3329,38636,1.031,-33.90113,151.11777,"Australia/Sydney"
11821,"Guyong","",2798,"NSW","New South Wales","Rural locality","Cabonne (Area)","Rest of NSW",877,127,42172,67.431,-33.39739,149.26039,"Australia/Sydney"
12953,"Newington","Auburn",2127,"NSW","New South Wales","Major Urban locality","Parramatta (City)","Greater Sydney",19,5802,51792,0.927,-33.83889,151.05551,"Australia/Sydney"
12316,"Lidcombe","Auburn",2141,"NSW","New South Wales","Major Urban locality","Cumberland (Area)","Greater Sydney",28,19627,27248,6.805,-33.86491,151.04789,"Australia/Sydney"
10299,"Berala","Auburn",2141,"NSW","New South Wales","Major Urban locality","Cumberland (Area)","Greater Sydney",34,9049,24544,2.128,-33.87461,151.03345,"Australia/Sydney"
10106,"Auburn","Auburn",2144,"NSW","New South Wales","Major Urban locality","Cumberland (Area)","Greater Sydney",33,37366,22568,8.564,-33.85787,151.02827,"Australia/Sydney"
13716,"Sydney Olympic Park","Auburn",2127,"NSW","New South Wales","Major Urban locality","Parramatta (City)","Greater Sydney",11,1736,45968,6.629,-33.83935,151.06654,"Australia/Sydney"
13547,"Silverwater","Auburn",2128,"NSW","New South Wales","Major Urban locality","Parramatta (City)","Greater Sydney",7,4166,37024,2.700,-33.83414,151.04521,"Australia/Sydney"
13345,"Regents Park","Auburn",2143,"NSW","New South Wales","Major Urban locality","Cumberland (Area)","Greater Sydney",39,4926,24908,1.987,-33.88245,151.02748,"Australia/Sydney"
14227,"Wentworth Point","Auburn",2127,"NSW","New South Wales","Major Urban locality","Parramatta (City)","Greater Sydney",4,6994,56524,0.574,-33.82839,151.07771,"Australia/Sydney"
13394,"Rookwood","Auburn",2141,"NSW","New South Wales","Major Urban locality","Cumberland (Area)","Greater Sydney",37,3,0,3.015,-33.87488,151.05634,"Australia/Sydney"
11345,"East Ballina","Ballina",2478,"NSW","New South Wales","Urban locality","Ballina (Area)","Rest of NSW",18,5571,34320,6.503,-28.85856,153.58891,"Australia/Sydney"
13878,"Tintenbar","",2478,"NSW","New South Wales","Rural locality","Ballina (Area)","Rest of NSW",6,822,34580,19.895,-28.79193,153.53018,"Australia/Sydney"
11154,"Cumbalum","",2478,"NSW","New South Wales","Rural locality","Ballina (Area)","Rest of NSW",42,1522,37908,16.590,-28.81697,153.53722,"Australia/Sydney"
10591,"Broken Head","",2481,"NSW","New South Wales","Rural locality","Ballina (Area)","Rest of NSW",23,274,32604,26.105,-28.73002,153.59346,"Australia/Sydney"
12303,"Lennox Head","",2478,"NSW","New South Wales","Rural locality","Ballina (Area)","Rest of NSW",19,6407,37648,20.712,-28.79156,153.58251,"Australia/Sydney"
12957,"Newrybar","",2479,"NSW","New South Wales","Rural locality","Ballina (Area)","Rest of NSW",51,444,34476,20.995,-28.72773,153.54935,"Australia/Sydney"
12178,"Knockrow","",2479,"NSW","New South Wales","Rural locality","Ballina (Area)","Rest of NSW",75,192,28808,13.135,-28.76054,153.54021,"Australia/Sydney"
13554,"Skennars Head","Ballina - Surrounds",2478,"NSW","New South Wales","Urban locality","Ballina (Area)","Rest of NSW",13,1158,32448,7.419,-28.83301,153.58983,"Australia/Sydney"
14144,"Wardell","Bagotville",2477,"NSW","New South Wales","Urban locality","Ballina (Area)","Rest of NSW",1,832,25584,32.354,-28.96017,153.45732,"Australia/Sydney"
14240,"West Ballina","Ballina",2478,"NSW","New South Wales","Urban locality","Ballina (Area)","Rest of NSW",3,3023,25740,9.261,-28.85657,153.52284,"Australia/Sydney"
10045,"Alstonvale","",2477,"NSW","New South Wales","Rural locality","Ballina (Area)","Rest of NSW",96,442,36088,10.258,-28.79550,153.44451,"Australia/Sydney"
11365,"East Wardell","",2477,"NSW","New South Wales","Rural locality","Ballina (Area)","Rest of NSW",1,305,28704,20.288,-28.96332,153.48390,"Australia/Sydney"
14357,"Wollongbar","",2477,"NSW","New South Wales","Rural locality","Ballina (Area)","Rest of NSW",165,2828,33644,17.629,-28.82016,153.40855,"Australia/Sydney"
10138,"Bagotville","",2477,"NSW","New South Wales","Rural locality","Ballina (Area)","Rest of NSW",14,49,27300,9.922,-28.97710,153.40871,"Australia/Sydney"
10162,"Ballina","Ballina",2478,"NSW","New South Wales","Urban locality","Ballina (Area)","Rest of NSW",4,8655,26780,20.461,-28.83481,153.55796,"Australia/Sydney"
11508,"Fernleigh","",2479,"NSW","New South Wales","Rural locality","Ballina (Area)","Rest of NSW",106,297,33176,11.462,-28.76919,153.48888,"Australia/Sydney"
12556,"Meerschaum Vale","",2477,"NSW","New South Wales","Rural locality","Ballina (Area)","Rest of NSW",28,397,31772,36.893,-28.92631,153.41861,"Australia/Sydney"
12086,"Keith Hall","",2478,"NSW","New South Wales","Rural locality","Ballina (Area)","Rest of NSW",22,171,29536,9.381,-28.89346,153.54580,"Australia/Sydney"
13576,"South Ballina","",2478,"NSW","New South Wales","Rural locality","Ballina (Area)","Rest of NSW",7,37,27924,3.018,-28.88500,153.56988,"Australia/Sydney"
13807,"Teven","",2478,"NSW","New South Wales","Rural locality","Ballina (Area)","Rest of NSW",33,286,34008,21.822,-28.81447,153.49145,"Australia/Sydney"
10046,"Alstonville","Ballina - Surrounds",2477,"NSW","New South Wales","Urban locality","Ballina (Area)","Rest of NSW",152,5739,29640,28.825,-28.83869,153.44743,"Australia/Sydney"
10738,"Cabbage Tree Island","",2477,"NSW","New South Wales","Rural locality","Ballina (Area)","Rest of NSW",3,78,22412,0.542,-28.98013,153.45672,"Australia/Sydney"
11687,"Goat Island","",2477,"NSW","New South Wales","Rural locality","Ballina (Area)","Rest of NSW",4,0,0,0.313,-28.98862,153.45729,"Australia/Sydney"
13208,"Pimlico Island","",2478,"NSW","New South Wales","Rural locality","Ballina (Area)","Rest of NSW",2,0,0,0.738,-28.91774,153.49456,"Australia/Sydney"
13207,"Pimlico","",2478,"NSW","New South Wales","Rural locality","Ballina (Area)","Rest of NSW",2,297,27924,26.168,-28.89426,153.49903,"Australia/Sydney"
13428,"Rous Mill","",2477,"NSW","New South Wales","Rural locality","Ballina (Area)","Rest of NSW",132,194,36816,9.951,-28.87980,153.38181,"Australia/Sydney"
11195,"Dalwood","",2477,"NSW","New South Wales","Rural locality","Ballina (Area)","Rest of NSW",142,234,31928,10.877,-28.89386,153.41514,"Australia/Sydney"
12499,"Marom Creek","",2480,"NSW","New South Wales","Rural locality","Ballina (Area)","Rest of NSW",6,127,31408,25.230,-28.90867,153.36512,"Australia/Sydney"
13158,"Patchs Beach","",2478,"NSW","New South Wales","Rural locality","Ballina (Area)","Rest of NSW",4,62,29900,2.557,-28.94696,153.50893,"Australia/Sydney"
13427,"Rous","",2477,"NSW","New South Wales","Rural locality","Ballina (Area)","Rest of NSW",183,227,37700,12.690,-28.86359,153.40664,"Australia/Sydney"
12427,"Lynwood","",2477,"NSW","New South Wales","Rural locality","Ballina (Area)","Rest of NSW",164,228,28080,8.044,-28.87076,153.44272,"Australia/Sydney"
14050,"Uralba","",2477,"NSW","New South Wales","Rural locality","Ballina (Area)","Rest of NSW",6,216,34008,11.626,-28.87374,153.47820,"Australia/Sydney"
11416,"Empire Vale","",2478,"NSW","New South Wales","Rural locality","Ballina (Area)","Rest of NSW",3,173,25740,14.274,-28.92253,153.51995,"Australia/Sydney"
13947,"Tuckombil","",2477,"NSW","New South Wales","Rural locality","Ballina (Area)","Rest of NSW",142,259,32656,8.816,-28.81280,153.46780,"Australia/Sydney"
10598,"Brooklet","",2479,"NSW","New South Wales","Rural locality","Ballina (Area)","Rest of NSW",109,257,41340,13.105,-28.74640,153.50417,"Australia/Sydney"
11031,"Coolgardie","",2478,"NSW","New South Wales","Rural locality","Ballina (Area)","Rest of NSW",156,124,35464,6.852,-28.91600,153.46031,"Australia/Sydney"
12545,"McLeans Ridges","",2480,"NSW","New South Wales","Rural locality","Ballina (Area)","Rest of NSW",148,510,38324,13.496,-28.79233,153.39586,"Australia/Sydney"
11468,"Euston","",2737,"NSW","New South Wales","Rural locality","Balranald (Area)","Rest of NSW",71,839,34892,3345.622,-34.37351,142.83635,"Australia/Sydney"
10168,"Balranald","",2715,"NSW","New South Wales","Rural locality","Balranald (Area)","Rest of NSW",60,1343,30004,5203.742,-34.32979,143.38926,"Australia/Sydney"
11870,"Hatfield","",2715,"NSW","New South Wales","Rural locality","Balranald (Area)","Rest of NSW",78,11,61724,1822.496,-33.72245,143.70999,"Australia/Sydney"
13107,"Oxley","",2711,"NSW","New South Wales","Rural locality","Balranald (Area)","Rest of NSW",76,33,48516,2872.398,-34.04068,144.07173,"Australia/Sydney"
11991,"Ivanhoe","",2878,"NSW","New South Wales","Rural locality","Balranald (Area)","Rest of NSW",95,327,39468,15789.890,-32.70224,144.18213,"Australia/Sydney"
12740,"Mossgiel","",2878,"NSW","New South Wales","Rural locality","Balranald (Area)","Rest of NSW",94,41,48516,2471.234,-33.28096,144.56349,"Australia/Sydney"
11083,"Corrong","",2711,"NSW","New South Wales","Rural locality","Balranald (Area)","Rest of NSW",84,3,90948,978.786,-34.02416,144.49898,"Australia/Sydney"
10092,"Arumpo","",2715,"NSW","New South Wales","Rural locality","Balranald (Area)","Rest of NSW",68,34,34580,5396.408,-33.59205,143.02266,"Australia/Sydney"
11936,"Hornsby","Hornsby - Ku-ring-gai",2077,"NSW","New South Wales","Major Urban locality","Hornsby (Area)","Greater Sydney",187,22168,38792,8.386,-33.69724,151.10055,"Australia/Sydney"
10917,"Clare","",2711,"NSW","New South Wales","Rural locality","Balranald (Area)","Rest of NSW",82,17,47632,1808.762,-33.46751,143.97828,"Australia/Sydney"
12222,"Kyalite","",2715,"NSW","New South Wales","Rural locality","Balranald (Area)","Rest of NSW",69,82,28912,534.075,-34.90380,143.52329,"Australia/Sydney"
12844,"Mungo","",2715,"NSW","New South Wales","Rural locality","Balranald (Area)","Rest of NSW",64,0,0,793.377,-33.75375,143.08284,"Australia/Sydney"
10484,"Booligal","",2711,"NSW","New South Wales","Rural locality","Balranald (Area)","Rest of NSW",89,95,36036,4519.354,-33.73220,144.68326,"Australia/Sydney"
11001,"Condell Park","Bankstown - North-East",2200,"NSW","New South Wales","Major Urban locality","Canterbury-Bankstown (Area)","Greater Sydney",30,11574,25428,3.895,-33.92599,151.00978,"Australia/Sydney"
10180,"Bankstown","Bankstown - North-East",2200,"NSW","New South Wales","Major Urban locality","Canterbury-Bankstown (Area)","Greater Sydney",21,32113,23556,6.393,-33.91991,151.03125,"Australia/Sydney"
13273,"Punchbowl","Bankstown - North-East",2196,"NSW","New South Wales","Major Urban locality","Canterbury-Bankstown (Area)","Greater Sydney",22,20236,22048,4.323,-33.92907,151.05159,"Australia/Sydney"
12774,"Mount Lewis","Bankstown - North-East",2190,"NSW","New South Wales","Major Urban locality","Canterbury-Bankstown (Area)","Greater Sydney",61,1195,23400,0.333,-33.91572,151.05024,"Australia/Sydney"
11757,"Greenacre","Bankstown - North-East",2190,"NSW","New South Wales","Major Urban locality","Canterbury-Bankstown (Area)","Greater Sydney",37,24373,22672,7.405,-33.89890,151.05729,"Australia/Sydney"
14453,"Yagoona","Bankstown - North-West",2199,"NSW","New South Wales","Major Urban locality","Canterbury-Bankstown (Area)","Greater Sydney",44,18013,24284,4.618,-33.90422,151.02148,"Australia/Sydney"
10914,"Chullora","Bankstown - North-East",2190,"NSW","New South Wales","Major Urban locality","Canterbury-Bankstown (Area)","Greater Sydney",39,0,0,1.989,-33.89266,151.04829,"Australia/Sydney"
10470,"Bonny Hills","Hastings",2445,"NSW","New South Wales","Urban locality","Port Macquarie-Hastings (Area)","Rest of NSW",19,2971,30576,20.747,-31.57442,152.81764,"Australia/Sydney"
11601,"Georges Hall","Bankstown - North-West",2198,"NSW","New South Wales","Major Urban locality","Canterbury-Bankstown (Area)","Greater Sydney",23,9038,29640,3.323,-33.90761,150.98902,"Australia/Sydney"
14074,"Villawood","Bankstown - North-West",2163,"NSW","New South Wales","Major Urban locality","Canterbury-Bankstown (Area)","Greater Sydney",23,6032,19812,3.926,-33.88432,150.98067,"Australia/Sydney"
10224,"Bass Hill","Bankstown - North-West",2197,"NSW","New South Wales","Major Urban locality","Canterbury-Bankstown (Area)","Greater Sydney",40,9069,24388,2.929,-33.90028,150.99309,"Australia/Sydney"
10899,"Chester Hill","Bankstown - North-West",2162,"NSW","New South Wales","Major Urban locality","Canterbury-Bankstown (Area)","Greater Sydney",46,12814,23504,3.976,-33.88004,150.99733,"Australia/Sydney"
13516,"Sefton","Bankstown - North-West",2162,"NSW","New South Wales","Major Urban locality","Canterbury-Bankstown (Area)","Greater Sydney",39,5808,24700,1.815,-33.88742,151.01040,"Australia/Sydney"
13355,"Revesby","Bankstown - North-West",2212,"NSW","New South Wales","Major Urban locality","Canterbury-Bankstown (Area)","Greater Sydney",14,14176,31616,5.608,-33.94767,151.01233,"Australia/Sydney"
12272,"Lansdowne","Bankstown - North-West",2163,"NSW","New South Wales","Major Urban locality","Canterbury-Bankstown (Area)","Greater Sydney",28,17,27924,1.410,-33.89624,150.97658,"Australia/Sydney"
13255,"Potts Hill","Bankstown - North-West",2143,"NSW","New South Wales","Major Urban locality","Canterbury-Bankstown (Area)","Greater Sydney",59,893,40820,1.128,-33.89271,151.03275,"Australia/Sydney"
10379,"Birrong","Bankstown - North-West",2143,"NSW","New South Wales","Major Urban locality","Canterbury-Bankstown (Area)","Greater Sydney",36,3103,24596,1.196,-33.89192,151.02094,"Australia/Sydney"
10181,"Bankstown Aerodrome","Bankstown - North-West",2200,"NSW","New South Wales","Major Urban locality","Canterbury-Bankstown (Area)","Greater Sydney",8,0,0,3.730,-33.92329,150.99027,"Australia/Sydney"
12625,"Milperra","Bankstown - South",2214,"NSW","New South Wales","Major Urban locality","Canterbury-Bankstown (Area)","Greater Sydney",15,3952,36244,5.371,-33.94109,150.98349,"Australia/Sydney"
11351,"East Hills","Bankstown - South",2213,"NSW","New South Wales","Major Urban locality","Canterbury-Bankstown (Area)","Greater Sydney",9,3206,34268,1.427,-33.96119,150.98818,"Australia/Sydney"
13144,"Panania","Bankstown - South",2213,"NSW","New South Wales","Major Urban locality","Canterbury-Bankstown (Area)","Greater Sydney",18,12419,34216,4.751,-33.95493,150.99524,"Australia/Sydney"
13199,"Picnic Point","Bankstown - South",2213,"NSW","New South Wales","Major Urban locality","Canterbury-Bankstown (Area)","Greater Sydney",33,6160,40560,3.859,-33.97301,151.00632,"Australia/Sydney"
13356,"Revesby Heights","Bankstown - South",2212,"NSW","New South Wales","Major Urban locality","Canterbury-Bankstown (Area)","Greater Sydney",36,1667,44564,0.801,-33.96919,151.01822,"Australia/Sydney"
13120,"Padstow","Bankstown - South",2211,"NSW","New South Wales","Major Urban locality","Canterbury-Bankstown (Area)","Greater Sydney",17,13306,32292,5.402,-33.95023,151.03068,"Australia/Sydney"
13121,"Padstow Heights","Bankstown - South",2211,"NSW","New South Wales","Major Urban locality","Canterbury-Bankstown (Area)","Greater Sydney",51,3540,34268,1.931,-33.97042,151.03352,"Australia/Sydney"
11386,"Eglinton","Bathurst",2795,"NSW","New South Wales","Urban locality","Bathurst Regional (Area)","Rest of NSW",671,2256,37180,63.470,-33.36736,149.54308,"Australia/Sydney"
14241,"West Bathurst","Bathurst",2795,"NSW","New South Wales","Urban locality","Bathurst Regional (Area)","Rest of NSW",709,3672,31876,2.894,-33.40794,149.56176,"Australia/Sydney"
10231,"Bathurst","Bathurst",2795,"NSW","New South Wales","Urban locality","Bathurst Regional (Area)","Rest of NSW",677,6932,31096,5.887,-33.41899,149.57822,"Australia/Sydney"
13577,"South Bathurst","Bathurst",2795,"NSW","New South Wales","Urban locality","Bathurst Regional (Area)","Rest of NSW",675,1583,30212,4.648,-33.44270,149.57444,"Australia/Sydney"
12090,"Kelso","Bathurst",2795,"NSW","New South Wales","Urban locality","Bathurst Regional (Area)","Rest of NSW",689,8968,34476,31.818,-33.42860,149.62263,"Australia/Sydney"
13304,"Raglan","Bathurst",2795,"NSW","New South Wales","Urban locality","Bathurst Regional (Area)","Rest of NSW",735,1199,34996,13.343,-33.42069,149.65113,"Australia/Sydney"
12783,"Mount Panorama","",2795,"NSW","New South Wales","Rural locality","Bathurst Regional (Area)","Rest of NSW",795,116,45760,6.882,-33.45107,149.55214,"Australia/Sydney"
12650,"Mitchell","Bathurst",2795,"NSW","New South Wales","Urban locality","Bathurst Regional (Area)","Rest of NSW",708,1310,13624,3.572,-33.42617,149.55775,"Australia/Sydney"
14275,"White Rock","Bathurst",2795,"NSW","New South Wales","Urban locality","Bathurst Regional (Area)","Rest of NSW",663,797,38116,19.069,-33.46169,149.61692,"Australia/Sydney"
14324,"Windradyne","Bathurst",2795,"NSW","New South Wales","Urban locality","Bathurst Regional (Area)","Rest of NSW",705,2936,35100,2.532,-33.40579,149.54454,"Australia/Sydney"
11720,"Gormans Hill","Bathurst",2795,"NSW","New South Wales","Urban locality","Bathurst Regional (Area)","Rest of NSW",700,785,28600,16.491,-33.46815,149.59526,"Australia/Sydney"
13097,"Orton Park","",2795,"NSW","New South Wales","Rural locality","Bathurst Regional (Area)","Rest of NSW",669,26,29900,5.463,-33.46781,149.57298,"Australia/Sydney"
11543,"Forest Grove","",2795,"NSW","New South Wales","Rural locality","Bathurst Regional (Area)","Rest of NSW",725,104,46800,8.428,-33.38908,149.66106,"Australia/Sydney"
12362,"Llanarth","Bathurst",2795,"NSW","New South Wales","Urban locality","Bathurst Regional (Area)","Rest of NSW",695,2198,43108,2.446,-33.39785,149.55099,"Australia/Sydney"
10004,"Abercrombie","Bathurst",2795,"NSW","New South Wales","Urban locality","Bathurst Regional (Area)","Rest of NSW",658,1109,42276,2.978,-33.39205,149.55367,"Australia/Sydney"
13375,"Robin Hill","Bathurst",2795,"NSW","New South Wales","Urban locality","Bathurst Regional (Area)","Rest of NSW",758,925,48516,7.705,-33.42392,149.53175,"Australia/Sydney"
12234,"Laffing Waters","",2795,"NSW","New South Wales","Rural locality","Bathurst Regional (Area)","Rest of NSW",724,112,46020,21.376,-33.36741,149.61966,"Australia/Sydney"
11602,"Georges Plains","",2795,"NSW","New South Wales","Rural locality","Bathurst Regional (Area)","Rest of NSW",748,248,40820,43.851,-33.53022,149.49090,"Australia/Sydney"
14312,"Wimbledon","",2795,"NSW","New South Wales","Rural locality","Bathurst Regional (Area)","Rest of NSW",843,109,44200,23.810,-33.53998,149.43485,"Australia/Sydney"
14343,"Wisemans Creek","",2795,"NSW","New South Wales","Rural locality","Bathurst Regional (Area)","Rest of NSW",759,113,28704,62.650,-33.63551,149.71256,"Australia/Sydney"
10888,"Charlton","",2795,"NSW","New South Wales","Rural locality","Bathurst Regional (Area)","Rest of NSW",768,26,44720,55.624,-33.67260,149.63848,"Australia/Sydney"
11173,"Curragh","",2795,"NSW","New South Wales","Rural locality","Bathurst Regional (Area)","Rest of NSW",617,0,0,46.301,-33.95091,149.20604,"Australia/Sydney"
10005,"Abercrombie River","",2795,"NSW","New South Wales","Rural locality","Bathurst Regional (Area)","Rest of NSW",733,22,23348,127.170,-33.91177,149.33265,"Australia/Sydney"
10760,"Caloola","",2795,"NSW","New South Wales","Rural locality","Bathurst Regional (Area)","Rest of NSW",906,88,38948,132.364,-33.63911,149.43494,"Australia/Sydney"
11062,"Copperhannia","",2795,"NSW","New South Wales","Rural locality","Bathurst Regional (Area)","Rest of NSW",778,3,46748,185.734,-33.87559,149.21311,"Australia/Sydney"
10982,"Colo","",2795,"NSW","New South Wales","Rural locality","Bathurst Regional (Area)","Rest of NSW",886,3,0,60.817,-33.77583,149.26472,"Australia/Sydney"
10082,"Arkell","",2795,"NSW","New South Wales","Rural locality","Bathurst Regional (Area)","Rest of NSW",963,43,36140,66.860,-33.73572,149.38154,"Australia/Sydney"
11095,"Cow Flat","",2795,"NSW","New South Wales","Rural locality","Bathurst Regional (Area)","Rest of NSW",743,63,38948,36.702,-33.57423,149.51235,"Australia/Sydney"
11552,"Fosters Valley","",2795,"NSW","New South Wales","Rural locality","Bathurst Regional (Area)","Rest of NSW",910,82,34372,55.830,-33.61641,149.54030,"Australia/Sydney"
